Categoria,name,Municipi,Open
4,Hotel The Corner ,Barcelona,Si
4,Hotel Barcelona Apolo ,Barcelona,Si
4,Hotel Vincci Gala ,Barcelona,Si
4,Hotel Vincci Mae ,Barcelona,Si
4,Hotel Vincci Maritimo ,Barcelona,Si
4,Hotel Wilson Boutique,Barcelona,Si
4,AC Victoria Suites,Barcelona,Si
4,Ako Suite Hotel ,Barcelona,Si
4,Aparthotel Mariano Cubi ,Barcelona,Si
4,Hotel Spa Senator Barcelona ,Barcelona,Si
4,Hotel & Spa Villa Olimpic@ Suites ,Barcelona,Si
4,Capri by Fraser Hotel Residences ,Barcelona,Si
4,Aparthotel Citadines Barcelona Ramblas ,Barcelona,Si
4,Hotel Apartament Murmuri Residence Mercader ,Barcelona,Si
4,Mercer Boria BCN,Barcelona,Si
4,Midtown Apartments Barcelona,Barcelona,Si
3,Abba Rambla Hotel ,Barcelona,Si
3,Hotel Acta Azul ,Barcelona,Si
3,Hotel Bcn Urban Gran Ducat ,Barcelona,Si
3,Hotel Catalonia Castellnou ,Barcelona,Si
3,Catalonia La Maquinista,Barcelona,Si
3,Hotel Catalonia Mikado ,Barcelona,Si
3,Hotel Catalonia Sagrada Familia ,Barcelona,Si
3,Hotel Catalonia Park Guell ,Barcelona,Si
3,Hotel Catalonia Portal de l'Angel ,Barcelona,Si
3,Hotel Catalonia Roma ,Barcelona,Si
3,Hotel Ciutat de Barcelona ,Barcelona,Si
3,Hotel Continental Palacete ,Barcelona,Si
3,Hotel Four Points By Sheraton Barcelona Diagonal ,Barcelona,Si
3,Hesperia Barri Gotic,Barcelona,Si
3,Hotel Actual ,Barcelona,Si
3,Hotel Arc La Rambla ,Barcelona,Si
3,Hotel Atlantis by Atbcn ,Barcelona,Si
3,Hotel Europark ,Barcelona,Si
3,Hotel Gaudi,Barcelona,Si
3,Hotel Jazz ,Barcelona,Si
3,Hotel Oriente Atiram ,Barcelona,Si
3,Hotel Raval House ,Barcelona,Si
3,Hotel REC Barcelona ,Barcelona,Si
3,Hotel Ronda House ,Barcelona,Si
3,Hotel Sagrada Familia ,Barcelona,Si
3,Hotel Viladomat ,Barcelona,Si
3,Hotel Ilunion Auditori ,Barcelona,Si
3,Leonardo Hotel Barcelona Las Ramblas ,Barcelona,Si
3,Hotel NH Barcelona Eixample ,Barcelona,Si
3,Hotel NH Les Corts ,Barcelona,Si
3,Hotel NH Diagonal Center ,Barcelona,Si
3,Hotel Mosaic ,Barcelona,Si
3,Hotel Onix Rambla ,Barcelona,Si
3,Park Hotel ,Barcelona,Si
3,Hotel Silken Sant Gervasi ,Barcelona,Si
3,Hotel Teatre Auditori ,Barcelona,Si
3,Hotel Sant Antoni ,Barcelona,Si
3,Hotel La Casa del Sol ,Barcelona,Si
3,Hotel Le Palacete ,Barcelona,Si
3,Hotel Yurbban Trafalgar ,Barcelona,Si
3,Aparthotel Aramunt ,Barcelona,Si
3,Aparthotel Bonanova Suite ,Barcelona,Si
2,Hotel Acta Antibes ,Barcelona,Si
2,Hotel chic&basic Lemon ,Barcelona,Si
2,Hotel HLG Citypark Pelai ,Barcelona,Si
2,Hotel Cuatro Naciones ,Barcelona,Si
2,Hotel Oasis ,Barcelona,Si
2,Hotel Amrey Sant Pau ,Barcelona,Si
2,Hotel Via Augusta ,Barcelona,Si
2,Hotel Ibis Meridiana ,Barcelona,Si
2,Hotel Ibis Barcelona Centro (Sagrada Familia) ,Barcelona,Si
2,Hotel Ibis Barcelona Placa Glories 22 ,Barcelona,Si
2,Hotel Ibis Styles Barcelona City Bogatell ,Barcelona,Si
2,Hotel Ibis Styles Barcelona Centre ,Barcelona,Si
2,Hotel Meson de Castilla Atiram ,Barcelona,Si
2,Hotel Praktik Essens ,Barcelona,Si
2,Murmuri Residence Concepcion,Barcelona,Si
2,Blanc Guest House,Barcelona,Si
2,Hostal BCN Port,Barcelona,Si
2,Hostal DingDong Express,Barcelona,Si
2,Hotel DingDong Putxet ,Barcelona,Si
2,Hostal Girona,Barcelona,Si
2,Hostal Goya,Barcelona,Si
2,Hostal Petit,Barcelona,Si
2,Hostal Petit Princep,Barcelona,Si
2,Hostal Sans,Barcelona,Si
2,Monrooms Barcelona,Barcelona,Si
1,Generator Barcelona,Barcelona,Si
1,Hotel Aneto ,Barcelona,Si
1,Hotel Bestprice Diagonal ,Barcelona,Si
1,Hotel Bestprice Gracia ,Barcelona,Si
1,Hotel Ingles ,Barcelona,Si
1,Hotel Transit ,Barcelona,Si
1,Hotel Travelodge Barcelona Poblenou ,Barcelona,Si
1,Hotel Internacional Rambla Atiram ,Barcelona,Si
1,Hotel Praktik Bakery ,Barcelona,Si
1,Hotel Aslyp114,Barcelona,Si
0,Motel One Barcelona,Barcelona,No
0,Aparthotel Silver,Barcelona,No
0,Hotel AinB ,Barcelona,No
0,Apartamentos SATA Park Guell,Barcelona,No
0,Apartments Rambla 102,Barcelona,No
0,Apartments Sixtyfour,Barcelona,No
0,Bonavista Apartments - Pg de Gracia,Barcelona,No
0,DingDong Fira Apartments,Barcelona,No
0,Eric Vokel Gran Via,Barcelona,No
0,Happy People Apartments,Barcelona,No
0,Isabella's House,Barcelona,No
0,Lugaris Beach,Barcelona,No
0,MH Apartments Liceo,Barcelona,No
0,Plaza Real Aspasios Apartments,Barcelona,No
0,Pierre & Vacances Barcelona Sants,Barcelona,No
0,Sensation Authentic Gracia,Barcelona,No
0,Sensation Sagrada Familia,Barcelona,No
0,Suites Center Barcelona,Barcelona,No
0,The Urban Suites,Barcelona,No
0,Uma Suites,Barcelona,No
0,Up Suites BCN,Barcelona,No
0,Amfores Boutique Guest House,Barcelona,No
0,Hostal Bejar,Barcelona,No
0,Hostal Capitol,Barcelona,No
0,Hostal Fernando,Barcelona,No
0,Praktik Garden,Barcelona,No
0,Praktik Rambla,Barcelona,No
0,Short Stay Barcelona,Barcelona,No
0,Som Nit Born,Barcelona,No
0,Som Nit Triomf,Barcelona,No
0,Sonder Vasanta,Barcelona,No
